i,real_index,MAE,Phi,SMI
445,4400,0.22130787,77.86921317,CCC(=O)CC=C
446,4716,0.16964750,83.03524962,CCC(N)C=CF
447,1199,0.24468667,75.53133337,NCC(=C)C#C
448,5624,0.18472419,81.52758136,CNC(C)C(N)=N
449,4908,0.21460287,78.53971265,CNC(=N)C=CN
450,4925,0.17674893,82.32510684,CNC(=N)C=NN
451,624,0.20269849,79.73015147,CONC(C)=O
452,5291,0.20112133,79.88786660,CNC=C(F)C=O
453,7084,0.22720960,77.27904027,Oc1cc(F)n[nH]1
454,7226,0.24782373,75.21762687,CC1CN(C1)C=N
455,7186,0.21133132,78.86686769,COC1CC(N)C1
456,4818,0.18011994,81.98800562,ON=CC(F)C=C
457,6327,0.27131099,72.86890139,CC1(COC1)C#C
458,3590,0.18705711,81.29428900,CC(F)=CC=NN
459,5066,0.22804113,77.19588692,CCN=C(C)NC
460,7336,0.25330313,74.66968708,CC(F)=CC1CC1
461,2502,0.17822019,82.17798082,CC(C)CC(N)=O
462,6434,0.19243846,80.75615450,FCC1(F)CC1F
463,6300,0.27594308,72.40569157,FC1(CNC1)C=C
464,7304,0.20414148,79.58585212,FC(=C)CC1CC1
465,6961,0.21913235,78.08676494,FC1C=CC(F)=C1
466,3945,0.16431209,83.56879122,CCC(O)CC#N
467,1141,0.22706463,77.29353737,CNC(=N)NN
468,5079,0.18537151,81.46284936,CC=C(C)CC=C
469,6518,0.19497617,80.50238264,CC1CC(F)CN1
470,642,0.29771534,70.22846566,NC(=O)CC#N
471,2129,0.20052722,79.94727789,NCC1CC1N
472,3503,0.22712231,77.28776917,NCC#CC(F)=C
473,5495,0.16097161,83.90283896,CC(F)C(F)C=O
474,1833,0.27900238,72.09976229,CC=CCC#N
475,6623,0.20365795,79.63420457,C=C1CCC(=O)O1
476,6285,0.32202222,67.79777821,CC1(CCC1)C#N
477,4999,0.20940463,79.05953747,CC#CC(O)C=O
478,4877,0.21604979,78.39502141,ON=CC(O)C#C
479,2659,0.25484526,74.51547365,CC1(C)CC(=O)O1
480,425,0.36878959,63.12104060,N#CC1CN1
481,3633,0.20186547,79.81345260,CC1(C)NCC1O
482,5068,0.20723330,79.27666996,CCN=C(C)NO
483,4523,0.22905601,77.09439859,NNC(=N)ON=C
484,4868,0.19886352,80.11364847,NC(C=CF)C#C
485,523,0.18205363,81.79463660,CC(O)CCN
486,8212,0.31135398,68.86460181,C=C1OC=CC1=C
487,3518,0.28725272,71.27472773,OC(=O)C#CC=C
488,2971,0.16259272,83.74072774,CC(=C)CCCN
